test_date_key,month,day_of_week,week_in_year,weekend,holiday,season,day,number_of_month,year,date
109,December,Friday,51,FALSE,FALSE,Fall,18,12,2020,2020-12-18
110,December,Saturday,51,TRUE,FALSE,Fall,19,12,2020,2020-12-19
111,December,Sunday,51,TRUE,FALSE,Fall,20,12,2020,2020-12-20
112,December,Monday,52,FALSE,FALSE,Winter,21,12,2020,2020-12-21
113,December,Tuesday,52,FALSE,FALSE,Winter,22,12,2020,2020-12-22
114,December,Wednesday,52,FALSE,FALSE,Winter,23,12,2020,2020-12-23
115,December,Thursday,52,FALSE,TRUE,Winter,24,12,2020,2020-12-24
116,December,Friday,52,FALSE,TRUE,Winter,25,12,2020,2020-12-25
117,December,Saturday,52,TRUE,TRUE,Winter,26,12,2020,2020-12-26
118,December,Sunday,52,TRUE,FALSE,Winter,27,12,2020,2020-12-27
119,December,Monday,53,FALSE,FALSE,Winter,28,12,2020,2020-12-28
120,December,Tuesday,53,FALSE,FALSE,Winter,29,12,2020,2020-12-29
121,December,Wednesday,53,FALSE,FALSE,Winter,30,12,2020,2020-12-30
122,December,Thursday,53,FALSE,TRUE,Winter,31,12,2020,2020-12-31
